timestamp,test_id,policy,test,src_host,target,check,delta,detail,result
2026-09-26 23:09:22,W-1,whitelist,vBond du whitelist,VPC46,10.9.3.12,missing,0,,PASS
2026-09-26 23:09:52,DP-1,DP_BRANCH,Telnet -> Server Farm bi chan,VPC46,10.1.90.10,TELNET_TO_FARM,9,vEdge1-S200+9,PASS
2026-09-26 23:10:19,DP-2,DP_BRANCH,SSH -> DMZ bi chan,VPC46,10.1.1.10,ADMIN_TO_DMZ,9,vEdge1-S200+9,PASS
2026-09-26 23:10:38,DP-3,DP_BRANCH,HTTP -> DMZ cho qua (+AAR SLA_BUSINESS),VPC46,10.1.1.10,ADMIN_TO_DMZ,0,,PASS
2026-09-26 23:10:38,DP-3,DP_BRANCH,HTTP -> DMZ cho qua (+AAR SLA_BUSINESS),VPC46,10.1.1.10,TELNET_TO_FARM,0,,PASS
2026-09-26 23:10:38,DP-3,AAR_LAN,HTTP -> DMZ cho qua (+AAR SLA_BUSINESS),VPC46,10.1.1.10,AAR_WEB,17,vEdge1-S200+17,PASS
2026-09-26 23:11:04,DP-4,DP_BRANCH,ICMP -> Server Farm duoc dem,VPC46,10.1.90.10,ICMP_BRANCH,15,vEdge1-S200+15 | reply 0,PASS
2026-09-26 23:11:51,AAR-1,AAR_LAN,ICMP lien site -> luat SLA_REALTIME,VPC46,10.1.10.1,AAR_ICMP,82,vEdge1-S100+54 vEdge1-S200+28 | reply 0,PASS
2026-09-26 23:11:52,CP-1,PREFER-VE1,Chi nhanh uu tien vEdge1-S100 (vEdge1-S200),VPC46,10.1.0.0/16,status,ve1=[C I R] ve2=[R],,PASS
2026-09-26 23:11:54,CP-1,PREFER-VE1,Chi nhanh uu tien vEdge1-S100 (vEdge2-S200),VPC46,10.1.0.0/16,status,ve1=[C I R] ve2=[R],,PASS
